video_id,group_name,title,upload_date,views,likes,comments,type
101,BOYNEXTDOOR,돌아버리겠다' Official MV,05/22/2023,20754647,389000,11652,music video
102,BOYNEXTDOOR,One and Only' Official MV,05/30/2023,38426674,516000,13208,music video
103,BOYNEXTDOOR, 'Serenade' Official MV,05/31/2023,22324285,378000,9430,music video
104,BOYNEXTDOOR,뭣 같아' Official MV,09/04/2023,44924503,376000,14596,music video
105,BOYNEXTDOOR,ABCDLOVE' Official MV,10/11/2023,8141816,132000,3441,music video
106,BOYNEXTDOOR," 'Earth, Wind & Fire' Official MV",04/15/0204,63956083,509000,20391,music video
107,BOYNEXTDOOR,부모님 관람불가' Official MV,09/02/2024,18580357,288000,12420,music video
108,BOYNEXTDOOR,Nice Guy' Official MV,09/09/2024,48240541,415000,15766,music video
109,BOYNEXTDOOR,오늘만 I LOVE YOU' Official MV,01/06/2025,46376438,495000,18816,music video
110,BOYNEXTDOOR,I Feel Good' Official MV,05/13/2025,38394159,382000,19605,music video
111,BOYNEXTDOOR, 'Count To Love' Official MV,8/17/2025,10671252,206000,7566,music video
112,BOYNEXTDOOR,Hollywood Action' Official MV,10/20/2025,32159621,331000,19007,music video
113,BOYNEXTDOOR,똑똑똑' Official MV,05/10/2026,8100366,216000,17017,music video
114,BOYNEXTDOOR,VIRAL' Official MV,06/08/2026,4813636,129000,15607,music video
115,BOYNEXTDOOR,‘One and Only’ Dance Practice,06/05/2023,1556473,80000,1193,dance practice
116,BOYNEXTDOOR,‘돌아버리겠다’ Dance Practice,06/07/2023,709249,42000,686,dance practice
117,BOYNEXTDOOR,‘Serenade’ Dance Practice,06/08/2023,1058756,54000,704,dance practice
118,BOYNEXTDOOR,‘뭣 같아’ Dance Practice,09/16/2023,856064,39000,508,dance practice
119,BOYNEXTDOOR,‘Crying’ Dance Practice,10/4/2023,316013,23000,410,dance practice
120,BOYNEXTDOOR,"‘Earth, Wind & Fire’ Dance Practice",04/19/2024,3108081,81000,987,dance practice
121,BOYNEXTDOOR,‘OUR’ Dance Practice,04/25/2024,747423,35000,436,dance practice
122,BOYNEXTDOOR, ‘l i f e i s c o o l’ Dance Practice,05/15/2024,425199,28000,520,dance practice
123,BOYNEXTDOOR,‘Dangerous’ Dance Practice,09/07/2024,823752,47000,721,dance practice
124,BOYNEXTDOOR, ‘Nice Guy’ Dance Practice,09/17/2024,961885,46000,643,dance practice
125,BOYNEXTDOOR,"‘IF I SAY, I LOVE YOU’ Dance Practice",01/14/2025,3697249,91000,1639,dance practice
126,BOYNEXTDOOR,‘I Feel Good’ Dance Practice,05/19/2025,1532646,60000,1343,dance practice
127,BOYNEXTDOOR,‘123-78’ Dance Practice,05/23/2025,1714977,67000,1104,dance practice
128,BOYNEXTDOOR,‘Count To Love’ Dance Practice,09/01/2025,896907,36000,968,dance practice
